season,team,oc_name,play_caller,from_week,to_week,source
2024,ARI,Drew Petzing,Drew Petzing,1,22,season records
2024,ATL,Zac Robinson,Zac Robinson,1,22,season records
2024,BAL,Todd Monken,Todd Monken,1,22,season records
2024,BUF,Joe Brady,Joe Brady,1,22,season records
2024,CAR,Brad Idzik,Dave Canales,1,22,season records; HC Canales calls plays
2024,CHI,Shane Waldron,Shane Waldron,1,10,ESPN 2024-11-12 Waldron fired after wk10
2024,CHI,Thomas Brown,Thomas Brown,11,22,ESPN 2024-11-12 interim OC from wk11
2024,CIN,Dan Pitcher,Zac Taylor,1,22,season records; HC Taylor calls plays
2024,CLE,Ken Dorsey,Kevin Stefanski,1,7,CBS/Yahoo 2024-10-23 Stefanski called plays wks1-7
2024,CLE,Ken Dorsey,Ken Dorsey,8,22,CBS/Yahoo 2024-10-23 Dorsey calls plays from wk8
2024,DAL,Brian Schottenheimer,Mike McCarthy,1,22,season records; HC McCarthy calls plays
2024,DEN,Joe Lombardi,Sean Payton,1,22,season records; HC Payton calls plays
2024,DET,Ben Johnson,Ben Johnson,1,22,season records
2024,GB,Adam Stenavich,Matt LaFleur,1,22,season records; HC LaFleur calls plays
2024,HOU,Bobby Slowik,Bobby Slowik,1,22,season records
2024,IND,Jim Bob Cooter,Shane Steichen,1,22,season records; HC Steichen calls plays
2024,JAX,Press Taylor,Press Taylor,1,22,season records
2024,KC,Matt Nagy,Andy Reid,1,22,season records; HC Reid calls plays
2024,LA,Mike LaFleur,Sean McVay,1,22,season records; HC McVay calls plays
2024,LAC,Greg Roman,Greg Roman,1,22,season records
2024,LV,Luke Getsy,Luke Getsy,1,9,ESPN/NFL.com 2024-11-03 Getsy fired after wk9
2024,LV,Scott Turner,Scott Turner,10,22,SilverAndBlackPride 2024-11-05 interim OC (bye wk10; debut wk11)
2024,MIA,Frank Smith,Mike McDaniel,1,22,season records; HC McDaniel calls plays
2024,MIN,Wes Phillips,Kevin O'Connell,1,22,season records; HC O'Connell calls plays
2024,NE,Alex Van Pelt,Alex Van Pelt,1,22,season records
2024,NO,Klint Kubiak,Klint Kubiak,1,22,season records
2024,NYG,Mike Kafka,Brian Daboll,1,22,season records; HC Daboll called plays 2024
2024,NYJ,Nathaniel Hackett,Nathaniel Hackett,1,5,ESPN 2024-10-10 Hackett stripped of play-calling
2024,NYJ,Nathaniel Hackett,Todd Downing,6,22,ESPN 2024-10-10 Downing play-caller from wk6; Hackett kept OC title
2024,PHI,Kellen Moore,Kellen Moore,1,22,season records
2024,PIT,Arthur Smith,Arthur Smith,1,22,season records
2024,SEA,Ryan Grubb,Ryan Grubb,1,22,season records
2024,SF,,Kyle Shanahan,1,22,season records; no official OC in 2024; HC Shanahan calls plays
2024,TB,Liam Coen,Liam Coen,1,22,season records
2024,TEN,Nick Holz,Brian Callahan,1,22,season records; HC Callahan called plays 2024
2024,WAS,Kliff Kingsbury,Kliff Kingsbury,1,22,season records
2025,ARI,Drew Petzing,Drew Petzing,1,22,season records
2025,ATL,Zac Robinson,Zac Robinson,1,22,season records
2025,BAL,Todd Monken,Todd Monken,1,22,season records
2025,BUF,Joe Brady,Joe Brady,1,22,season records
2025,CAR,Brad Idzik,Dave Canales,1,22,season records; HC Canales calls plays
2025,CHI,Declan Doyle,Ben Johnson,1,22,baltimoreravens.com/chicagobears.com bios; HC Johnson calls plays
2025,CIN,Dan Pitcher,Zac Taylor,1,22,season records; HC Taylor calls plays
2025,CLE,Tommy Rees,Kevin Stefanski,1,9,clevelandbrowns.com 2025-11-03 Stefanski called plays wks1-9
2025,CLE,Tommy Rees,Tommy Rees,10,22,clevelandbrowns.com 2025-11-03 Rees calls plays from wk10
2025,DAL,Klayton Adams,Brian Schottenheimer,1,22,profootballrumors 2025 tracker; HC Schottenheimer calls plays
2025,DEN,Joe Lombardi,Sean Payton,1,22,season records; HC Payton calls plays
2025,DET,John Morton,John Morton,1,9,ESPN/NFL.com 2025-11 Campbell took play-calling wk10
2025,DET,John Morton,Dan Campbell,10,22,ESPN/NFL.com 2025-11 Campbell play-caller from wk10; Morton kept OC title
2025,GB,Adam Stenavich,Matt LaFleur,1,22,season records; HC LaFleur calls plays
2025,HOU,Nick Caley,Nick Caley,1,22,season records
2025,IND,Jim Bob Cooter,Shane Steichen,1,22,season records; HC Steichen calls plays
2025,JAX,Grant Udinski,Liam Coen,1,22,profootballrumors 2025 tracker; HC Coen calls plays
2025,KC,Matt Nagy,Andy Reid,1,22,season records; HC Reid calls plays
2025,LA,Mike LaFleur,Sean McVay,1,22,season records; HC McVay calls plays
2025,LAC,Greg Roman,Greg Roman,1,22,season records
2025,LV,Chip Kelly,Chip Kelly,1,12,ESPN/NFL.com 2025-11-23 Kelly fired after wk12
2025,LV,Greg Olson,Greg Olson,13,22,fox5vegas 2025-11-24 QB coach Olson interim OC from wk13
2025,MIA,Frank Smith,Mike McDaniel,1,22,season records; HC McDaniel calls plays
2025,MIN,Wes Phillips,Kevin O'Connell,1,22,season records; HC O'Connell calls plays
