season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2026,1,1,LVR,MEN516487,MendFe00,fernando-mendoza-1,Fernando Mendoza,FALSE,QB,QB,O,Indiana,22,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,2,NYJ,NA,BailDa02,david-bailey-5,David Bailey,FALSE,OLB,LB,D,Texas Tech,23,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,3,ARI,LOV121782,LoveJe00,jeremiyah-love-1,Jeremiyah Love,FALSE,RB,RB,O,Notre Dame,21,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,4,TEN,TAT143045,TateCa00,carnell-tate-1,Carnell Tate,FALSE,WR,WR,O,Ohio St.,21,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,5,NYG,REE496321,ReesAr00,arvell-reese-1,Arvell Reese,FALSE,LB,LB,D,Ohio St.,21,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,6,KAN,DEL076452,DelaMa00,mansoor-delane-1,Mansoor Delane,FALSE,CB,DB,D,LSU,22,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,7,WAS,NA,StylSo01,sonny-styles-1,Sonny Styles,FALSE,LB,LB,D,Ohio St.,21,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,8,NOR,TYS405541,TysoJo00,jordyn-tyson-1,Jordyn Tyson,FALSE,WR,WR,O,Arizona St.,22,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,9,CLE,FAN288396,FanoSp00,spencer-fano-1,Spencer Fano,FALSE,OT,OL,O,Utah,21,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,10,NYG,MAU290246,MauiFr01,francis-mauigoa-1,Francis Mauigoa,FALSE,OT,OL,O,Miami (FL),21,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,11,DAL,DOW662609,DownCa00,caleb-downs-1,Caleb Downs,FALSE,S,DB,D,Ohio St.,21,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,12,MIA,PRO114835,ProcKa00,kadyn-proctor-1,Kadyn Proctor,FALSE,OT,OL,O,Alabama,21,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,13,LAR,SIM639376,SimpTy00,ty-simpson-1,Ty Simpson,FALSE,QB,QB,O,Alabama,23,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,14,BAL,IOA451705,IoanOl00,NA,Olaivavega Ioane,FALSE,OG,OG,NA,Penn St.,22,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,15,TAM,BAI741257,BainRu00,rueben-bain-jr-1,Rueben Bain Jr.,FALSE,DE,DL,D,Miami (FL),21,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,16,NYJ,SAD482340,SadiKe00,kenyon-sadiq-1,Kenyon Sadiq,FALSE,TE,TE,O,Oregon,21,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
