gsis_id,fp_id,player,pos,team,age,draft_year,ecr_1qb,ecr_2qb,ecr_pos,value_1qb,value_2qb,scrape_date,id_source,rank_1qb,rank_2qb
00-0036900,19788,Ja'Marr Chase,WR,CIN,26.4,2021,1.1,6,1,10232,9119,2026-07-31,fp_id,1,2
00-0038543,23070,Jaxon Smith-Njigba,WR,SEA,24.5,2023,3.5,9.2,2.7,9671,8459,2026-07-31,fp_id,2,4
00-0038542,23133,Bijan Robinson,RB,ATL,24.5,2023,3.7,10.5,1.2,9626,8204,2026-07-31,fp_id,3,7
00-0036322,19236,Justin Jefferson,WR,MIN,27.1,2020,5.8,11.3,5,9162,8051,2026-07-31,fp_id,4,8
00-0039139,22968,Jahmyr Gibbs,RB,DET,24.4,2023,5.9,14.7,1.8,9141,7433,2026-07-31,fp_id,5,16
00-0039075,23180,Puka Nacua,WR,LAR,25.2,2023,6.2,13.3,2.7,9076,7682,2026-07-31,fp_id,6,12
00-0036963,19799,Amon-Ra St. Brown,WR,DET,26.8,2021,6.2,13.2,4.7,9076,7700,2026-07-31,fp_id,7,11
00-0036358,19202,CeeDee Lamb,WR,DAL,27.3,2020,6.9,14,6.4,8928,7556,2026-07-31,fp_id,8,14
00-0040122,25989,Ashton Jeanty,RB,LV,22.7,2025,9.6,19.6,3.2,8379,6625,2026-07-31,fp_id,9,17
00-0039337,25409,Malik Nabers,WR,NYG,23,2024,11.5,22.5,6.4,8013,6188,2026-07-31,fp_id,10,19
00-0041027,25403,Jeremiyah Love,RB,ARI,NA,NA,12.2,23.8,4.6,7883,6002,2026-07-31,name-fallback (rookie),11,21
00-0037238,23163,Drake London,WR,ATL,25,2022,15.6,25.9,7.4,7277,5713,2026-07-31,fp_id,12,23
00-0040666,25395,Omarion Hampton,RB,LAC,23.4,2025,16.2,27.2,5.8,7176,5541,2026-07-31,fp_id,13,25
00-0034857,17298,Josh Allen,QB,BUF,30.2,2018,17.5,1.2,1.2,6960,10208,2026-07-31,fp_id,14,1
00-0040124,25417,Tetairoa McMillan,WR,CAR,23.3,2025,18,30.4,10.2,6878,5140,2026-07-31,fp_id,15,28
00-0037248,22958,James Cook III,RB,BUF,26.8,2022,19.6,31.9,7,6625,4962,2026-07-31,fp_id,16,29
00-0037740,23072,Garrett Wilson,WR,NYJ,26,2022,21.2,33.1,16.2,6380,4824,2026-07-31,fp_id,17,30
00-0036223,19217,Jonathan Taylor,RB,IND,27.5,2020,22.3,35.4,7.5,6217,4570,2026-07-31,fp_id,18,36
00-0038120,22982,Breece Hall,RB,NYJ,25.2,2022,22.7,34,10.2,6159,4723,2026-07-31,fp_id,19,33
00-0036554,20130,Nico Collins,WR,HOU,27.4,2021,22.7,36.3,11,6159,4474,2026-07-31,fp_id,20,39
00-0039040,23136,De'Von Achane,RB,MIA,24.8,2023,22.8,33.9,5.5,6145,4734,2026-07-31,fp_id,21,32
00-0040129,23062,Emeka Egbuka,WR,TB,23.8,2025,22.8,35,12.1,6145,4613,2026-07-31,fp_id,22,35
00-0037239,20111,Chris Olave,WR,NO,26.1,2022,23.6,36.2,14.3,6030,4485,2026-07-31,fp_id,23,38
00-0039338,22955,Brock Bowers,TE,LV,23.6,2024,24.1,34.7,1.1,5960,4646,2026-07-31,fp_id,24,34
00-0039851,23046,Drake Maye,QB,NE,23.9,2024,26.1,21,2,5686,6410,2026-07-31,fp_id,25,18
00-0037744,22936,Trey McBride,TE,ARI,26.7,2022,26.5,37.4,2.1,5633,4360,2026-07-31,fp_id,26,40
00-0035676,18218,A.J. Brown,WR,NE,29.1,2019,26.8,38.7,19,5593,4229,2026-07-31,fp_id,27,41
00-0038134,23021,Kenneth Walker III,RB,KC,25.8,2022,27.4,40,9.2,5515,4102,2026-07-31,fp_id,28,43
00-0041438,26009,Carnell Tate,WR,TEN,NA,NA,27.9,39.6,15,5451,4140,2026-07-31,name-fallback (rookie),29,42
00-0036912,19222,DeVonta Smith,WR,PHI,27.7,2021,31.2,44.3,18.6,5044,3707,2026-07-31,fp_id,30,47
00-0039915,26122,Ladd McConkey,WR,LAC,24.7,2024,32,43.9,16.8,4950,3742,2026-07-31,fp_id,31,46
00-0037247,22963,George Pickens,WR,DAL,25.4,2022,33.3,36.1,12.8,4801,4495,2026-07-31,fp_id,32,37
00-0034796,17233,Lamar Jackson,QB,BAL,29.6,2018,33.5,6.6,4.1,4778,8991,2026-07-31,fp_id,33,3
00-0039910,22902,Jayden Daniels,QB,WAS,25.6,2024,33.8,14,3.6,4745,7556,2026-07-31,fp_id,34,13
00-0039849,23064,Marvin Harrison Jr.,WR,ARI,24,2024,34.4,42.7,26.7,4678,3849,2026-07-31,fp_id,35,45
00-0040126,26006,Colston Loveland,TE,CHI,22.3,2025,35,47.6,3,4613,3431,2026-07-31,fp_id,36,50
00-0040735,27016,Luther Burden III,WR,CHI,22.6,2025,35.6,47.4,19,4548,3447,2026-07-31,fp_id,37,48
00-0036613,19790,Jaylen Waddle,WR,DEN,27.7,2021,35.6,47.4,23.4,4548,3447,2026-07-31,fp_id,38,49
00-0033873,16413,Patrick Mahomes II,QB,KC,30.9,2017,37.1,9.3,7.9,4391,8439,2026-07-31,fp_id,39,5
00-0039919,25411,Rome Odunze,WR,CHI,24.2,2024,37.9,50.1,24.6,4309,3235,2026-07-31,fp_id,40,53
00-0041029,26035,Jordyn Tyson,WR,NO,NA,NA,38.2,50.4,21,4279,3212,2026-07-31,name-fallback (rookie),41,54
00-0033280,16393,Christian McCaffrey,RB,SF,30.1,2017,38.4,48.7,15.8,4259,3343,2026-07-31,fp_id,42,52
00-0039064,22916,Zay Flowers,WR,BAL,25.9,2023,38.5,48.6,19.4,4249,3351,2026-07-31,fp_id,43,51
00-0038597,25324,Chase Brown,RB,CIN,26.4,2023,40.2,52.3,11.2,4082,3072,2026-07-31,fp_id,44,56
00-0040867,25420,Makai Lemon,WR,PHI,NA,NA,40.5,53.5,22.2,4054,2987,2026-07-31,name-fallback (rookie),45,59
00-0036442,19196,Joe Burrow,QB,CIN,29.6,2020,43.2,10.4,5.5,3804,8223,2026-07-31,fp_id,46,6
00-0039065,22978,Sam LaPorta,TE,DET,25.5,2023,43.5,52.7,7.1,3778,3043,2026-07-31,fp_id,47,57
00-0036389,19275,Jalen Hurts,QB,PHI,28,2020,43.7,12.6,8.9,3760,7809,2026-07-31,fp_id,48,10
00-0040128,26434,Tyler Warren,TE,IND,24.2,2025,43.9,56.6,4.1,3742,2777,2026-07-31,fp_id,49,62
00-0039067,23113,Rashee Rice,WR,KC,26.3,2023,44.9,56.8,23.3,3655,2764,2026-07-31,fp_id,50,63
00-0036410,19211,Tee Higgins,WR,CIN,27.5,2020,45.9,55.9,23.3,3571,2823,2026-07-31,fp_id,51,61
00-0039918,23084,Caleb Williams,QB,CHI,24.7,2024,47.9,12,5.7,3407,7920,2026-07-31,fp_id,52,9
00-0040734,23065,TreVeyon Henderson,RB,NE,23.8,2025,48.3,60.2,13.2,3375,2551,2026-07-31,fp_id,53,65
00-0034844,17240,Saquon Barkley,RB,PHI,29.5,2018,48.7,63.7,13.8,3343,2350,2026-07-31,fp_id,54,69
00-0040784,25391,Quinshon Judkins,RB,CLE,22.8,2025,49.9,61.5,13.7,3250,2475,2026-07-31,fp_id,55,66
00-0036355,18635,Justin Herbert,QB,LAC,28.4,2020,50.7,14.3,7.2,3190,7503,2026-07-31,fp_id,56,15
00-0036973,19231,Travis Etienne Jr.,RB,NO,27.5,2021,51.1,63.3,17.7,3160,2372,2026-07-31,fp_id,57,68
00-0038996,25298,Tucker Kraft,TE,GB,25.7,2023,52.3,64.7,5.3,3072,2295,2026-07-31,fp_id,58,70
00-0037840,23059,Kyren Williams,RB,LAR,25.9,2022,54.3,70.5,15.8,2931,2003,2026-07-31,fp_id,59,74
00-0037240,23677,Jameson Williams,WR,DET,25.3,2022,55,66.8,26.8,2883,2185,2026-07-31,fp_id,60,71
00-0040663,27050,Harold Fannin Jr.,TE,CLE,22,2025,56.3,67.3,6.2,2796,2159,2026-07-31,fp_id,61,72
00-0036970,20164,Kyle Pitts Sr.,TE,ATL,25.8,2021,57.5,74.9,7.7,2719,1806,2026-07-31,fp_id,62,76
00-0039893,23000,Brian Thomas Jr.,WR,JAC,23.8,2024,59,69.6,28.2,2624,2046,2026-07-31,fp_id,63,73
00-0036971,19780,Trevor Lawrence,QB,JAC,26.8,2021,60,22.9,9.7,2564,6130,2026-07-31,fp_id,64,20
00-0034827,17265,DJ Moore,WR,BUF,29.3,2018,64.2,88.3,34.6,2323,1318,2026-07-31,fp_id,65,89
00-0035640,18219,DK Metcalf,WR,PIT,28.6,2019,65.6,96.3,37.6,2247,1092,2026-07-31,fp_id,66,97
00-0038124,23886,Christian Watson,WR,GB,27.2,2022,66.5,78.2,30.6,2200,1671,2026-07-31,fp_id,67,78
00-0040715,27166,Cam Skattebo,RB,NYG,24.5,2025,67,77.7,18.4,2175,1691,2026-07-31,fp_id,68,77
00-0037834,19797,Brock Purdy,QB,SF,26.6,2022,68.3,26.7,11.9,2109,5606,2026-07-31,fp_id,69,24
00-0039361,25981,Bucky Irving,RB,TB,23.9,2024,68.8,79.6,19.2,2085,1617,2026-07-31,fp_id,70,79
00-0040691,23160,Jaxson Dart,QB,NYG,23.2,2025,69,24.7,11.8,2075,5876,2026-07-31,fp_id,71,22
00-0041547,27331,KC Concepcion,WR,CLE,NA,NA,69.2,80.3,32,2065,1591,2026-07-31,name-fallback (rookie),72,80
00-0036997,22739,Javonte Williams,RB,DAL,26.3,2021,70.2,81.2,18.9,2017,1558,2026-07-31,fp_id,73,81
00-0041512,27329,Jadarian Price,RB,SEA,NA,NA,70.8,82.2,19.5,1989,1521,2026-07-31,name-fallback (rookie),74,82
00-0038933,25247,Dalton Kincaid,TE,BUF,26.8,2023,72.4,83.3,12.7,1915,1483,2026-07-31,fp_id,75,84
00-0036252,19278,Michael Pittman Jr.,WR,PIT,28.8,2020,73.9,110.9,44.5,1849,775,2026-07-31,fp_id,76,114
