gsis_id,cur_status,cur_code,cur_available,y25_weeks_listed,y25_weeks_out,y25_weeks_out_injury,y25_weeks_q,y25_weeks_dnp,y25_top_injury,car_seasons_seen,car_weeks_listed,car_weeks_out,car_weeks_out_injury,car_weeks_q,car_weeks_dnp
00-0023459,ACT,A01,TRUE,9,1,1,1,0,Wrist,5,43,10,10,1,4
00-0025565,ACT,A01,TRUE,0,0,0,0,0,NA,2,19,3,3,16,2
00-0026027,ACT,A01,TRUE,0,0,0,0,0,NA,0,0,0,0,0,0
00-0026158,ACT,A01,TRUE,4,1,1,1,2,Shoulder,3,9,3,2,1,2
00-0026190,ACT,A01,TRUE,17,1,0,0,16,NA,5,80,7,3,6,71
00-0026300,ACT,A01,TRUE,0,0,0,0,0,NA,0,0,0,0,0,0
00-0026498,ACT,A01,TRUE,1,1,1,0,0,Finger,5,13,7,7,4,4
00-0027224,ACT,A01,TRUE,0,0,0,0,0,NA,1,1,1,0,0,1
00-0027557,ACT,A01,TRUE,0,0,0,0,0,NA,2,2,2,2,0,0
00-0027857,ACT,A01,TRUE,18,1,1,3,1,Hamstring,5,76,12,11,14,25
00-0027969,ACT,A01,TRUE,16,1,1,1,2,Ankle,5,66,5,4,1,6
00-0027973,ACT,A01,TRUE,1,0,0,1,0,Thumb,5,14,6,5,4,5
00-0028118,ACT,A01,TRUE,7,3,3,2,2,Knee,4,16,8,8,2,6
00-0028292,ACT,A01,TRUE,3,2,2,0,1,Concussion,4,11,6,5,4,5
00-0028845,ACT,A01,TRUE,2,0,0,2,0,Chest,1,2,0,0,2,0
00-0028872,ACT,A01,TRUE,2,1,0,0,1,NA,3,6,2,1,1,3
00-0028986,ACT,A01,TRUE,0,0,0,0,0,NA,2,2,1,0,1,2
00-0029604,ACT,A01,TRUE,0,0,0,0,0,NA,2,3,2,2,0,0
00-0029607,ACT,A01,TRUE,1,0,0,1,0,Calf,4,8,4,3,3,2
00-0029692,ACT,A01,TRUE,1,1,0,0,0,NA,4,4,3,0,1,2
00-0029714,ACT,A01,TRUE,0,0,0,0,0,NA,1,1,0,0,1,0
00-0029892,ACT,A01,TRUE,3,1,1,0,0,Concussion,4,8,4,4,1,1
00-0030035,RET,R02,FALSE,0,0,0,0,0,NA,4,30,7,6,5,15
00-0030070,ACT,A01,TRUE,2,1,0,1,1,NA,5,9,5,2,2,2
00-0030092,ACT,A01,TRUE,0,0,0,0,0,NA,2,3,2,2,0,0
00-0030097,ACT,A01,TRUE,1,0,0,1,0,Groin,4,8,3,3,1,0
00-0030140,ACT,A01,TRUE,1,0,0,1,0,Back,2,2,1,1,1,0
00-0030294,ACT,A01,TRUE,2,2,2,0,1,Hamstring,3,6,4,4,1,3
00-0030506,ACT,A01,TRUE,0,0,0,0,0,NA,4,17,3,3,6,1
00-0030561,ACT,A01,TRUE,11,8,8,1,7,Foot,5,57,16,14,4,12
00-0030565,ACT,A01,TRUE,4,3,3,0,2,Shoulder,5,14,7,7,3,3
00-0030615,ACT,A01,TRUE,2,1,1,0,0,Hamstring,2,3,2,2,0,0
00-0030957,ACT,A01,TRUE,0,0,0,0,0,NA,1,1,1,1,0,0
00-0031040,ACT,A01,TRUE,8,1,0,1,1,Elbow,5,44,7,3,9,17
00-0031136,ACT,A01,TRUE,0,0,0,0,0,NA,3,4,3,2,1,3
00-0031156,ACT,A01,TRUE,2,2,1,0,0,Back,4,8,4,3,2,2
00-0031203,ACT,A01,TRUE,3,1,1,2,1,Thigh,3,7,2,2,3,2
00-0031235,ACT,A01,TRUE,0,0,0,0,0,NA,3,29,8,7,8,11
00-0031237,ACT,A01,TRUE,4,1,1,1,2,Shoulder,4,25,6,6,11,6
00-0031270,ACT,A01,TRUE,7,1,1,0,0,Knee,5,38,7,7,11,6
00-0031279,ACT,A01,TRUE,16,1,1,1,2,Ankle,3,31,3,2,2,3
00-0031330,ACT,A01,TRUE,13,1,1,1,0,Foot,5,38,6,5,14,8
00-0031381,ACT,A01,TRUE,10,1,1,6,2,Hamstring,5,33,8,7,12,7
00-0031408,ACT,A01,TRUE,11,5,5,2,4,Hamstring,5,54,13,13,5,22
00-0031411,ACT,A01,TRUE,13,2,2,0,1,Quadricep,5,43,6,5,2,8
00-0031484,ACT,A01,TRUE,1,1,0,0,0,NA,4,10,5,3,0,1
00-0031492,ACT,A01,TRUE,0,0,0,0,0,NA,0,0,0,0,0,0
00-0031503,ACT,A01,TRUE,0,0,0,0,0,NA,3,12,3,3,8,3
00-0031565,ACT,A01,TRUE,0,0,0,0,0,NA,2,3,2,0,1,0
00-0031583,ACT,A01,TRUE,11,3,3,2,3,Knee,3,27,5,4,2,15
00-0031595,ACT,A01,TRUE,0,0,0,0,0,NA,3,10,4,4,0,1
00-0031622,ACT,A01,TRUE,2,1,1,1,1,Knee,2,3,2,2,1,1
00-0031898,ACT,A01,TRUE,9,2,1,0,1,Thumb,1,9,2,1,0,1
00-0031933,ACT,A01,TRUE,13,1,1,0,0,Wrist,5,51,8,8,8,6
00-0031957,ACT,A01,TRUE,11,4,4,5,5,Ankle,5,22,11,10,6,9
00-0032052,ACT,A01,TRUE,5,1,1,0,0,Shoulder,5,25,6,3,2,7
00-0032065,ACT,A01,TRUE,0,0,0,0,0,NA,3,9,3,1,1,4
00-0032071,ACT,A01,TRUE,10,3,2,2,2,Hand,5,38,8,5,23,10
00-0032103,ACT,A01,TRUE,4,2,1,2,1,Ankle,5,46,14,13,18,10
00-0032104,ACT,A01,TRUE,1,1,1,0,0,Knee,3,6,4,4,1,2
00-0032146,ACT,A01,TRUE,6,1,1,3,0,Back,5,34,12,12,13,11
00-0032156,ACT,A01,TRUE,0,0,0,0,0,NA,3,4,3,3,0,1
00-0032164,ACT,A01,TRUE,7,1,1,2,1,Hand,5,42,15,15,9,19
00-0032208,ACT,A01,TRUE,0,0,0,0,0,NA,1,2,2,2,0,1
00-0032228,ACT,A01,TRUE,2,1,1,0,0,Hamstring,3,6,3,3,2,1
00-0032268,ACT,A01,TRUE,3,3,3,0,2,Hand,3,7,5,5,2,5
00-0032378,ACT,A01,TRUE,13,4,4,1,12,Neck,5,51,8,8,9,41
00-0032379,ACT,A01,TRUE,0,0,0,0,0,NA,3,9,2,2,3,1
00-0032380,ACT,A01,TRUE,15,4,4,1,13,Oblique,5,44,9,8,5,17
00-0032387,ACT,A01,TRUE,9,2,2,1,0,Wrist,4,32,5,5,4,6
00-0032391,ACT,A01,TRUE,7,1,0,0,0,NA,4,20,3,2,7,0
00-0032392,ACT,A01,TRUE,2,2,2,0,1,Concussion,5,7,6,6,0,1
00-0032399,ACT,A01,TRUE,1,1,1,0,1,Knee,3,3,3,2,0,1
00-0032412,ACT,A01,TRUE,0,0,0,0,0,NA,2,7,3,3,2,1
00-0032424,ACT,A01,TRUE,1,0,0,1,0,Back,5,24,6,6,4,3
00-0032434,ACT,A01,TRUE,0,0,0,0,0,NA,1,1,1,1,0,0
00-0032445,ACT,A01,TRUE,0,0,0,0,0,NA,1,1,1,1,0,0
00-0032464,ACT,A01,TRUE,6,3,3,2,3,Ankle,5,15,7,7,7,5
00-0032497,ACT,A01,TRUE,1,1,1,0,0,Neck,3,5,3,3,0,0
00-0032569,ACT,A01,TRUE,1,1,0,0,0,NA,3,3,3,1,0,0
00-0032580,ACT,A01,TRUE,6,2,2,2,5,Hamstring,5,36,5,4,27,9
