team,hc_2025,hc_2026,qb_2025,qb_2025_starts,qb_2025_all,qb26_r1,qb26_r2,oc_2025,pc_2025,adds,losses,n_picks,picks,skill_picks,hc_change,qb_change,oc_vacated,oc_status,dc_status
ARI,Jonathan Gannon,Jonathan Gannon,Jacoby Brissett,12,"Jacoby Brissett (12), Kyler Murray (5)",Jacoby Brissett,Gardner Minshew II,Drew Petzing,Drew Petzing,"Andrew Wingard (DB, from JAX); Kendrick Bourne (WR, from SF); Jack Gibbens (LB, from NE); Jonah Williams (DL, from NO); Andrew Billings (DL, from CHI); Roy Lopez (DL, from DET); Tyler Allgeier (RB, from ATL); Isaiah Oliver (DB, from NYJ)",Jalen Thompson (DB -> DAL); Akeem Davis-Gaither (LB -> IND); Dalvin Tomlinson (DL -> LAC); Calais Campbell (DL -> BAL); Michael Carter (RB -> TEN); Kyler Murray (QB -> MIN),7,R1.3 Jeremiyah Love (RB); R2.34 Chase Bisontis (G); R3.65 Carson Beck (QB); R4.104 Kaleb Proctor (DT); R5.143 Reggie Virgil (WR); R6.183 Karson Sharar (LB); R7.217 Jayden Williams (OL),R1 Jeremiyah Love (RB); R3 Carson Beck (QB),FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
ATL,Raheem Morris,Raheem Morris,Michael Penix,9,"Kirk Cousins (8), Michael Penix (9)",Tua Tagovailoa,Michael Penix Jr.,Zac Robinson,Zac Robinson,"Tua Tagovailoa (QB, from MIA); Jahan Dotson (WR, from PHI); Austin Hooper (TE, from NE); Olamide Zaccheaus (WR, from CHI); Da'Shawn Hand (DL, from LAC); Samson Ebukam (DL, from IND); Maason Smith (DL, from JAX); Cameron Thomas (DL, from CLE); Sydney Brown (DB, from PHI); Chris Williams (DL, from CHI); Brian Robinson (RB, from SF); Darnay Holmes (DB, from LV)",Kaden Elliss (LB -> NO); Darnell Mooney (WR -> NYG); David Onyemata (DL -> NYJ); Ruke Orhorhoro (DL -> JAX); Dee Alford (DB -> BUF); David Sills (WR -> TB); Kirk Cousins (QB -> LV); Arnold Ebiketie (LB -> PHI); Tyler Allgeier (RB -> ARI),6,R2.48 Avieon Terrell (CB); R3.79 Zachariah Branch (WR); R4.134 Kendal Daniels (LB); R6.208 Anterio Thompson (DT); R6.215 Harold Perkins Jr. (LB); R7.231 Ethan Onianwa (G),R3 Zachariah Branch (WR),FALSE,TRUE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
BAL,John Harbaugh,Jesse Minter,Lamar Jackson,13,"Cooper Rush (2), Lamar Jackson (13), Tyler Huntley (2)",Lamar Jackson,Tyler Huntley,Todd Monken,Todd Monken,"Jaylinn Hawkins (DB, from NE); Calais Campbell (DL, from ARI); Durham Smythe (TE, from CHI); Trey Hendrickson (DL, from CIN)",Alohi Gilman (DB -> KC); Dre'Mont Jones (LB -> NE); Isaiah Likely (TE -> NYG); Charlie Kolar (TE -> LAC),11,R1.14 Olaivavega Ioane (OG); R2.45 Zion Young (DE); R3.80 Ja'Kobi Lane (WR); R4.115 Elijah Sarratt (WR); R4.133 Matthew Hibner (TE); R5.162 Chandler Rivers (CB); R5.173 Josh Cuevas (TE); R5.174 Adam Randall (RB); R6.211 Ryan Eckley (P); R7.250 Rayshaun Benny (DT); R7.253 Evan Beerntsen (OL),R3 Ja'Kobi Lane (WR),TRUE,FALSE,TRUE,CHANGED (2025 OC/PC took an HC job),Change likely (new HC)
BUF,Sean McDermott,Sean McDermott,Josh Allen,18,"Josh Allen (18), Mitchell Trubisky (1)",Josh Allen,Kyle Allen,Joe Brady,Joe Brady,"DJ Moore (WR, from CHI); Geno Stone (DB, from CIN); C.J. Gardner-Johnson (DB, from CHI); Bradley Chubb (LB, from MIA); Dee Alford (DB, from ATL); Michael Danna (DL, from KC); Demetrius Flannigan-Fowles (LB, from NYG); Trent Sherfield (WR, from NE); Shane Zylstra (TE, from DET)",Taron Johnson (DB -> LV); Cam Lewis (DB -> CHI),10,R2.35 T.J. Parker (DE); R2.62 Davison Igbinosun (CB); R4.102 Jude Bowry (OT); R4.125 Skyler Bell (WR); R4.126 Kaleb Elarms-Orr (LB); R5.167 Jalon Kilgore (CB); R5.181 Zane Durant (DT); R7.220 Toriano Pride Jr. (CB); R7.239 Tommy Doman (P); R7.241 Ar'maj Reed-Adams (G),,FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
CAR,Dave Canales,Dave Canales,Bryce Young,18,Bryce Young (18),Bryce Young,Kenny Pickett,Brad Idzik,Dave Canales,"Jaelan Phillips (LB, from PHI); Devin Lloyd (LB, from JAX); John Metchie III (WR, from NYJ)",Christian Rozeboom (LB -> TB); D.J. Wonnum (LB -> DET); A'Shawn Robinson (DL -> TB); Rico Dowdle (RB -> PIT),7,R1.19 Monroe Freeling (OT); R2.49 Lee Hunter (DT); R3.83 Chris Brazzell II (WR); R4.129 Will Lee III (CB); R5.144 Sam Hecht (C); R5.151 Zakee Wheatley (S); R7.227 Jackson Kuwatch (LB),R3 Chris Brazzell II (WR),FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
CHI,Ben Johnson,Ben Johnson,Caleb Williams,19,Caleb Williams (19),Caleb Williams,Tyson Bagent,Declan Doyle,Ben Johnson,"Coby Bryant (DB, from SEA); Devin Bush (LB, from CLE); Neville Gallimore (DL, from IND); Cam Lewis (DB, from BUF); Kalif Raymond (WR, from DET); James Lynch (DL, from TEN); Jack Sanborn (LB, from DAL); Kentavius Street (DL, from ATL); Scott Miller (WR, from PIT)",Jaquan Brisker (DB -> PIT); Kevin Byard (DB -> NE); Nahshon Wright (DB -> NYJ); DJ Moore (WR -> BUF); Tremaine Edmunds (LB -> NYG); C.J. Gardner-Johnson (DB -> BUF); Olamide Zaccheaus (WR -> ATL); Andrew Billings (DL -> ARI); Durham Smythe (TE -> BAL),7,R1.25 Dillon Thieneman (S); R2.57 Logan Jones (C); R3.69 Sam Roush (TE); R3.89 Zavion Thomas (WR); R4.124 Malik Muhammad (CB); R5.166 Keyshaun Elliott (LB); R6.213 Jordan van den Berg (DL),R3 Sam Roush (TE); R3 Zavion Thomas (WR),FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
CIN,Zac Taylor,Zac Taylor,Joe Burrow,8,"Jake Browning (3), Joe Burrow (8), Joe Flacco (6)",Joe Burrow,Joe Flacco,Dan Pitcher,Zac Taylor,"Bryan Cook (DB, from KC); Jonathan Allen (DL, from MIN); Kyle Dugger (DB, from PIT); Dexter Lawrence (DL, from NYG); Boye Mafe (LB, from SEA)",Geno Stone (DB -> BUF); Joseph Ossai (DL -> NYJ); Noah Fant (TE -> NO); Cam Taylor-Britt (DB -> IND),7,R2.41 Cashius Howell (DE); R3.72 Tacario Davis (CB); R4.128 Connor Lew (C); R4.140 Colbie Young (WR); R6.189 Brian Parker II (OT); R7.221 Jack Endries (TE); R7.226 Landon Robinson (NT),,FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
CLE,Kevin Stefanski,Todd Monken,Shedeur Sanders,7,"Dillon Gabriel (6), Joe Flacco (4), Shedeur Sanders (7)",Deshaun Watson,Shedeur Sanders,Tommy Rees,Tommy Rees,"Jared Verse (LB, from LA); Quincy Williams (LB, from NYJ); Kalia Davis (DL, from SF); Myles Bryant (DB, from HOU); Jack Stoll (TE, from NO); Tylan Wallace (WR, from BAL)",Devin Bush (LB -> CHI); Myles Garrett (DL -> LA); David Njoku (TE -> LAC); Shelby Harris (DL -> NYG); Cameron Thomas (DL -> ATL),10,R1.9 Spencer Fano (OT); R1.24 KC Concepcion (WR); R2.39 Denzel Boston (WR); R2.58 Emmanuel McNeil-Warren (S); R3.86 Austin Barber (OT); R5.146 Parker Brailsford (C); R5.149 Justin Jefferson (LB); R5.170 Joe Royer (TE); R6.182 Taylen Green (QB); R7.248 Carsen Ryan (TE),R1 KC Concepcion (WR); R2 Denzel Boston (WR),TRUE,TRUE,FALSE,Change likely (new HC),Change likely (new HC)
DAL,Brian Schottenheimer,Brian Schottenheimer,Dak Prescott,17,Dak Prescott (17),Dak Prescott,Joe Milton III,Klayton Adams,Brian Schottenheimer,"Dee Winters (LB, from SF); Cobie Durant (DB, from LA); Jalen Thompson (DB, from ARI); Rashan Gary (DL, from GB); Marquez Valdes-Scantling (WR, from PIT); Jonathan Bullard (DL, from NO); P.J. Locke (DB, from DEN); Tyler Johnson (WR, from NYJ); Curtis Robinson (LB, from SF); Otito Ogbonnia (DL, from LAC)",Osa Odighizuwa (DL -> SF); Jalen Tolbert (WR -> MIA); Solomon Thomas (DL -> TEN); Dante Fowler Jr. (DL -> SEA),7,R1.11 Caleb Downs (S); R1.23 Malachi Lawrence (DE); R3.92 Jaishawn Barham (DE); R4.112 Drew Shelton (OT); R4.114 Devin Moore (CB); R4.137 LT Overton (DE); R7.218 Anthony Smith (WR),,FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
DEN,Sean Payton,Sean Payton,Bo Nix,18,"Bo Nix (18), Jarrett Stidham (1)",Bo Nix,Jarrett Stidham,Joe Lombardi,Sean Payton,"Jaylen Waddle (WR, from MIA)",John Franklin-Myers (DL -> TEN); Dre Greenlaw (LB -> SF); P.J. Locke (DB -> DAL),7,R3.66 Tyler Onyedim (DT); R4.108 Jonah Coleman (RB); R4.111 Kage Casey (OT); R5.152 Justin Joly (TE); R7.246 Miles Scott (S); R7.256 Dallen Bentley (TE); R7.257 Red Murdock (LB),,FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
