season,state,calls,called_pass,pass_rate,snaps,sec_per_play,sec_after_pass,sec_after_run,team_games,plays_pg
2021,q1_trail_big,9044,6819,0.754,8642,25.4454,21.8547,34.8808,570,NA
2021,q2_trail,8642,5403,0.6252,8301,31.0536,26.9537,36.6148,570,NA
2021,q3_lead,10053,6006,0.5974,9634,30.8128,26.3726,36.2043,570,NA
2021,q4_lead_big,9028,4579,0.5072,8701,31.0484,25.9587,35.3788,570,NA
2022,q1_trail_big,8073,6000,0.7432,7738,25.7171,22.1567,34.4277,568,NA
2022,q2_trail,9470,5871,0.62,9110,30.6435,26.3369,36.2624,568,NA
2022,q3_lead,11000,6413,0.583,10560,31.1017,26.556,36.3182,568,NA
2022,q4_lead_big,7855,3855,0.4908,7603,30.5578,25.7127,34.3992,568,NA
2023,q1_trail_big,8580,6320,0.7366,8213,26.4312,22.7974,35.043,570,NA
2023,q2_trail,9240,5906,0.6392,8910,30.3433,26.2276,36.2019,570,NA
2023,q3_lead,10395,6193,0.5958,9991,31.0252,26.4412,36.526,570,NA
2023,q4_lead_big,8482,4335,0.5111,8177,30.831,26.2476,34.6871,570,NA
2024,q1_trail_big,8248,6167,0.7477,7850,25.7449,22.4125,34.1459,570,NA
2024,q2_trail,9338,5809,0.6221,8913,31.1598,27.2068,36.381100000000004,570,NA
2024,q3_lead,10302,6030,0.5853,9860,31.5878,27.3108,36.5707,570,NA
2024,q4_lead_big,8465,4175,0.4932,8106,31.206,26.6557,34.8183,570,NA
2025,q1_trail_big,8155,6001,0.7359,7816,26.707,22.8836,35.671,570,NA
2025,q2_trail,9207,5810,0.631,8818,30.9361,26.5998,36.8871,570,NA
2025,q3_lead,10448,6042,0.5783,10031,31.9455,27.2567,37.2334,570,NA
2025,q4_lead_big,7920,3920,0.4949,7609,31.3768,26.8969,34.9734,570,NA
2021,overall,36767,22807,0.6203,35278,29.6069,25.0328,35.8329,570,61.8912
2022,overall,36398,22139,0.6082,35011,29.6685,25.1213,35.5048,568,61.6391
2023,overall,36697,22754,0.6201,35291,29.7334,25.304,35.6729,570,61.914
2024,overall,36353,22181,0.6102,34729,30.0647,25.7573,35.6487,570,60.9281
2025,overall,35730,21773,0.6094,34274,30.3587,25.772,36.2774,570,60.1298
0,q1_trail_big,42100,31307,0.7436,40259,26.0021,22.4092,34.8455,2848,NA
0,q2_trail,45897,28799,0.6275,44052,30.8235,26.6581,36.4656,2848,NA
0,q3_lead,52198,30684,0.5878,50076,31.2951,26.7828,36.5741,2848,NA
0,q4_lead_big,41750,20864,0.4997,40196,31.0054,26.2865,34.8611,2848,NA
0,overall,181945,111654,0.6137,174583,29.8835,25.3929,35.7856,2848,61.3002
