season,team,calls_all,called_pass_all,pass_rate_all,snaps_all,sec_per_play_all,sec_after_pass_all,sec_after_run_all,calls_q1_trail_big,calls_q2_trail,calls_q3_lead,calls_q4_lead_big,pass_rate_q1_trail_big,pass_rate_q2_trail,pass_rate_q3_lead,pass_rate_q4_lead_big,sec_per_play_q1_trail_big,sec_per_play_q2_trail,sec_per_play_q3_lead,sec_per_play_q4_lead_big,games,plays_pg,dev_q1,dev_q2,dev_q3,dev_q4
2024,ARI,1074,649,0.6043,1019,30.1235,26.168,35.4558,278,278,264,254,0.6978,0.6583,0.572,0.4764,26,31.1705,29.3255,34.4747,17,59.9412,0.0936,0.054,-0.0323,-0.1279
2024,ATL,1119,632,0.5648,1065,28.899,24.1948,33.8497,185,396,358,180,0.6919,0.6035,0.5475,0.3833,25.3061,28.4057,30.2089,31,17,62.6471,0.1271,0.0387,-0.0173,-0.1815
2024,BAL,1205,626,0.5195,1154,31.7477,26.2362,36.6818,139,280,308,478,0.7482,0.6071,0.539,0.3891,24.3534,31.5734,32.8072,33.4282,19,60.7368,0.2287,0.0876,0.0195,-0.1304
2024,BUF,1263,716,0.5669,1198,31.2355,26.1981,36.8919,151,316,363,433,0.7086,0.5823,0.573,0.5012,25.7281,30.7441,32.0068,32.7824,20,59.9,0.1417,0.0154,0.0061,-0.0657
2024,CAR,1001,652,0.6513,962,29.711,24.8618,36.4939,392,247,254,108,0.7372,0.6154,0.5984,0.5463,25.74,33.3216,31.7951,30.2949,17,56.5882,0.0859,-0.036,-0.0529,-0.1051
2024,CHI,1105,727,0.6579,1046,28.8829,25.0645,34.7326,417,331,235,122,0.7458,0.6465,0.566,0.5656,26.8066,30.2188,30.4821,29.2584,17,61.5294,0.0879,-0.0114,-0.092,-0.0923
2024,CIN,1098,755,0.6876,1048,30.7306,27.8604,35.971,140,259,427,272,0.7857,0.7143,0.7213,0.5588,24.7925,34.1106,30.7611,30.1963,17,61.6471,0.0981,0.0267,0.0337,-0.1288
2024,CLE,1168,805,0.6892,1113,27.6393,23.6599,34.8611,560,293,234,81,0.7661,0.6485,0.6154,0.5185,25.6825,29.0044,29.962,29.7333,17,65.4706,0.0769,-0.0407,-0.0738,-0.1707
2024,DAL,1152,733,0.6363,1092,27.4663,23.0659,33.7139,334,336,312,170,0.7695,0.6071,0.609,0.4824,22.8626,30.3636,29.092,27.7364,17,64.2353,0.1332,-0.0291,-0.0273,-0.1539
2024,DEN,1116,701,0.6281,1073,30.2733,25.854,36.3127,191,295,310,320,0.7749,0.6237,0.6161,0.5562,26.0267,31,31.4108,31.0353,18,59.6111,0.1467,-0.0044,-0.012,-0.0719
2024,DET,1181,654,0.5538,1154,31.0271,26.5808,35.8696,168,206,354,453,0.7083,0.6311,0.4972,0.5055,25.4638,29.0632,32.381,33.031,18,64.1111,0.1546,0.0773,-0.0566,-0.0482
2024,GB,1127,592,0.5253,1075,31.6508,26.0694,36.6467,226,251,261,389,0.7035,0.5498,0.4828,0.4344,25.904,32.9293,34.0294,32.5621,18,59.7222,0.1783,0.0245,-0.0425,-0.0908
2024,HOU,1229,783,0.6371,1176,30.5998,26.5414,36.4253,158,312,382,377,0.8165,0.6635,0.623,0.5544,24.5397,32.164,31.6267,30.8252,19,61.8947,0.1794,0.0264,-0.0141,-0.0827
2024,IND,1059,598,0.5647,1019,28.8379,22.6302,35.4615,278,324,279,178,0.741,0.5401,0.5197,0.4045,23.8532,30.8919,31.257,29.0986,17,59.9412,0.1763,-0.0246,-0.045,-0.1602
2024,JAX,1014,628,0.6193,980,28.8495,23.6812,35.6908,312,326,250,126,0.7564,0.5859,0.588,0.4286,25,30.0923,31.2708,30.67,17,57.6471,0.1371,-0.0334,-0.0313,-0.1908
2024,KC,1270,826,0.6504,1213,29.7763,26.9144,34.205,111,262,534,363,0.7928,0.687,0.6592,0.5675,29.9872,31.2757,30.07,28.1303,20,60.65,0.1424,0.0366,0.0088,-0.0829
2024,LA,1186,705,0.5944,1139,29.7224,24.8523,35.8014,257,421,321,187,0.6965,0.5796,0.5981,0.4813,27.5327,30.956,30.9883,27.75,19,59.9474,0.1021,-0.0149,0.0037,-0.1132
2024,LAC,1093,658,0.602,1047,31.582,27.1149,37.0495,95,287,361,350,0.7789,0.6551,0.6066,0.5057,26.4795,33.031,32.4982,30.8188,18,58.1667,0.1769,0.053,0.0046,-0.0963
2024,LV,1101,742,0.6739,1049,28.9814,24.7369,36.6797,400,362,257,82,0.8325,0.5912,0.6031,0.4878,23.6349,32.0979,32.0354,32.0161,17,61.7059,0.1586,-0.0828,-0.0708,-0.1861
2024,MIA,1113,684,0.6146,1063,31.051,27.3984,35.9761,313,267,332,201,0.7412,0.5918,0.5572,0.5423,28.7016,31.3824,32.8832,31.1338,17,62.5294,0.1267,-0.0228,-0.0573,-0.0723
2024,MIN,1150,716,0.6226,1089,30.9755,27.9583,34.8081,115,235,302,498,0.8174,0.6766,0.6325,0.5462,26.7473,31.5291,33.2798,30.2314,18,60.5,0.1948,0.054,0.0098,-0.0764
2024,NE,1071,678,0.6331,1011,29.5187,25.5185,35.1536,393,230,330,118,0.7303,0.6435,0.5667,0.4746,25.4804,31.9711,32.6136,29.4545,17,59.4706,0.0972,0.0104,-0.0664,-0.1585
2024,NO,1076,653,0.6069,1022,28.3688,22.9979,35.3117,310,222,348,196,0.7742,0.6441,0.5374,0.4235,22.9878,28.6215,31.4453,31.2953,17,60.1176,0.1673,0.0373,-0.0695,-0.1834
2024,NYG,1095,709,0.6475,1043,29.7892,25.5957,35.9658,424,389,193,89,0.7311,0.6067,0.5855,0.5618,28.4471,30.75,31.7047,27.6029,17,61.3529,0.0836,-0.0408,-0.062,-0.0857
2024,NYJ,1051,700,0.666,1005,30.2159,25.5078,37.8984,234,296,346,175,0.7778,0.6453,0.6474,0.5886,26.5426,32.3017,29.8824,32.3869,17,59.1176,0.1117,-0.0208,-0.0186,-0.0775
2024,PHI,1381,686,0.4967,1334,30.5328,26.2908,34.1076,70,245,419,647,0.6571,0.5878,0.5251,0.4266,25.8621,30.8398,30.8394,30.738,21,63.5238,0.1604,0.091,0.0283,-0.0702
2024,PIT,1153,654,0.5672,1108,29.8552,25.732,34.0987,271,365,288,229,0.7011,0.5644,0.5764,0.4017,26.7037,31.216,31.3822,29.5537,18,61.5556,0.1339,-0.0028,0.0092,-0.1655
2024,SEA,1063,709,0.667,1001,29.1462,25.705,35.1538,286,287,326,164,0.8042,0.6794,0.6012,0.5366,23.6278,30.4868,31.9016,31.1508,17,58.8824,0.1372,0.0125,-0.0658,-0.1304
2024,SF,1062,640,0.6026,1012,31.8592,27.3165,37.7747,211,229,313,309,0.7062,0.6114,0.6198,0.5081,27.4667,32.5847,32.4303,33.6992,17,59.5294,0.1035,0.0087,0.0172,-0.0945
2024,TB,1163,707,0.6079,1117,31.797,27.8154,36.8345,195,312,329,327,0.7846,0.6282,0.5836,0.5076,25.7622,32.1693,34.626,32.4104,18,62.0556,0.1767,0.0203,-0.0243,-0.1003
2024,TEN,1071,647,0.6041,1014,31.3485,27.0505,36.7806,412,226,328,105,0.7063,0.6327,0.5244,0.3905,27.4673,33.9042,33.8266,33.9367,17,59.6471,0.1022,0.0286,-0.0797,-0.2136
2024,WAS,1343,816,0.6076,1288,29.4213,26.3018,33.6099,222,253,384,484,0.7342,0.7036,0.5573,0.5393,23.6477,28.9612,31.1297,30.8895,20,64.4,0.1266,0.096,-0.0503,-0.0683
2025,ARI,1117,778,0.6965,1062,28.6351,25.5236,34.8581,398,288,244,187,0.7764,0.6979,0.6557,0.5775,23.1335,31.6429,32.7085,30.6434,17,62.4706,0.0799,0.0014,-0.0408,-0.119
2025,ATL,1062,605,0.5697,1024,30.0202,25.1659,35.4736,194,281,363,224,0.7062,0.637,0.5399,0.4152,26.9806,30.1878,30.6479,31.4743,17,60.2353,0.1365,0.0673,-0.0297,-0.1545
2025,BAL,989,528,0.5339,954,31.9087,27.2737,36.0905,192,254,284,259,0.6615,0.5748,0.5,0.4363,29.1623,31.797,33.7004,32.1,17,56.1176,0.1276,0.0409,-0.0339,-0.0976
2025,BUF,1227,691,0.5632,1185,32.7819,28.6053,37.581,280,283,354,310,0.6571,0.6396,0.5254,0.4516,30.0925,32.2458,34.9929,33.243,19,62.3684,0.094,0.0764,-0.0377,-0.1115
2025,CAR,1096,664,0.6058,1049,30.7374,26.1414,36.3913,314,379,285,118,0.7229,0.6042,0.5544,0.4237,28.1165,31.7778,31.2775,33.0889,18,58.2778,0.1171,-0.0016,-0.0515,-0.1821
2025,CHI,1278,767,0.6002,1234,29.2735,23.914,35.9002,286,357,381,254,0.7378,0.605,0.5774,0.4724,26.1144,29.3483,29.9836,31.801,19,64.9474,0.1376,0.0049,-0.0227,-0.1277
2025,CIN,1091,721,0.6609,1044,29.8127,25.3989,36.9335,292,347,251,201,0.7603,0.6859,0.6056,0.5423,26.787,29.9712,31.4133,31.913,17,61.4118,0.0994,0.025,-0.0553,-0.1186
2025,CLE,1072,677,0.6315,1024,29.2776,23.7966,36.4274,364,288,295,125,0.75,0.6111,0.5627,0.496,25.1073,30.81,32.7035,30.3146,17,60.2353,0.1185,-0.0204,-0.0688,-0.1355
2025,DAL,1136,716,0.6303,1080,28.5717,24.4896,34.352,316,330,294,196,0.731,0.6333,0.5748,0.5459,25.6883,29.3029,29.5913,30.3613,17,63.5294,0.1007,0.0031,-0.0555,-0.0844
2025,DEN,1228,779,0.6344,1184,29.622,24.791,36.5284,145,325,467,291,0.731,0.6923,0.6253,0.5361,25.9573,31.2901,29.6915,29.4716,19,62.3158,0.0967,0.0579,-0.0091,-0.0983
2025,DET,1085,649,0.5982,1049,30.5655,25.4125,37.0235,218,311,264,292,0.7661,0.5949,0.5758,0.4966,27.4302,30.5976,31.5654,32.0804,17,61.7059,0.1679,-0.0033,-0.0224,-0.1016
2025,GB,1081,619,0.5726,1043,31.1667,27.1133,35.6283,126,248,441,266,0.7143,0.6048,0.5533,0.5075,25.4286,31.2039,33.1566,30.5224,18,57.9444,0.1417,0.0322,-0.0193,-0.0651
2025,HOU,1278,778,0.6088,1210,29.6573,24.9034,35.7107,199,277,419,383,0.7789,0.639,0.6014,0.5065,23.3158,30.9635,30.2282,31.3163,19,63.6842,0.1701,0.0302,-0.0073,-0.1022
2025,IND,1043,632,0.6059,994,31.0749,26.8536,36.84,148,268,395,232,0.7095,0.6306,0.5949,0.5302,27.0431,31.3857,32.8758,30.0889,17,58.4706,0.1035,0.0247,-0.011,-0.0758
2025,JAX,1162,714,0.6145,1110,30.728,25.6705,37.3778,128,254,376,404,0.7734,0.6693,0.609,0.5347,27.1429,32.1594,31.4369,30.3217,18,61.6667,0.159,0.0548,-0.0054,-0.0798
2025,KC,1080,725,0.6713,1034,29.5922,26.0773,35.4646,175,371,328,206,0.8343,0.6873,0.6311,0.568,26.0365,28.7071,31.6908,30.7558,17,60.8235,0.163,0.016,-0.0402,-0.1033
2025,LA,1286,771,0.5995,1234,30.2468,26.2587,35.363,101,362,385,438,0.7426,0.6436,0.6286,0.5046,30.6098,29.33,29.9804,31.2335,20,61.7,0.143,0.0441,0.029,-0.095
2025,LAC,1178,755,0.6409,1133,31.1575,27.3555,36.9467,297,264,303,314,0.8047,0.6629,0.6238,0.4841,26.5656,30.8627,34.3306,32.732,18,62.9444,0.1638,0.022,-0.0172,-0.1568
2025,LV,973,624,0.6413,931,30.6449,26.5011,36.7855,389,248,269,67,0.7172,0.621,0.5985,0.4478,28.4324,31.4922,31.9808,34.5273,17,54.7647,0.0759,-0.0203,-0.0428,-0.1936
2025,MIA,963,553,0.5742,936,32.1481,27.2632,37.5027,276,191,248,248,0.7246,0.5812,0.5484,0.4274,28.7748,32.1382,34.7222,33.4084,17,55.0588,0.1504,0.0069,-0.0259,-0.1468
2025,MIN,980,602,0.6143,939,30.7918,26.158,36.6567,271,264,247,198,0.7232,0.6402,0.583,0.4697,27.2367,31.9458,33.1282,31.0909,17,55.2353,0.109,0.0259,-0.0313,-0.1446
2025,NE,1312,807,0.6151,1264,31.6341,28.3708,35.9754,107,302,401,502,0.8972,0.6523,0.5985,0.5458,23.5357,31.6976,32.8287,32.3455,21,60.1905,0.2821,0.0372,-0.0166,-0.0693
2025,NO,1107,708,0.6396,1061,27.1284,22.5448,33.7576,450,383,211,63,0.72,0.5718,0.6588,0.4127,25.3577,30.5845,25.4046,25.7,17,62.4118,0.0804,-0.0678,0.0192,-0.2269
2025,NYG,1117,657,0.5882,1057,29.6445,25.2422,34.7878,279,287,309,242,0.7276,0.5784,0.5599,0.4752,26.4375,31.9693,30.0041,30.1667,17,62.1765,0.1394,-0.0098,-0.0283,-0.113
2025,NYJ,1032,631,0.6114,1001,29.06,23.0431,36.9688,558,229,213,32,0.7007,0.5459,0.493,0.3125,27.1131,30.5363,32.9515,27.7727,17,58.8824,0.0893,-0.0656,-0.1185,-0.2989
2025,PHI,1094,633,0.5786,1055,31,25.0458,37.7649,91,281,359,363,0.8352,0.6335,0.5543,0.4959,22.4085,31.4089,32.4583,31.3513,18,58.6111,0.2566,0.0548,-0.0243,-0.0827
2025,PIT,1071,664,0.62,1030,30.3821,25.6625,36.538,168,290,403,210,0.7381,0.6586,0.5881,0.5333,22.7852,30.6174,33.3006,30.6766,18,57.2222,0.1181,0.0386,-0.0319,-0.0866
2025,SEA,1219,640,0.525,1173,31.5967,26.5727,36.2661,78,235,352,554,0.6923,0.6,0.5455,0.4567,26.5077,30.712,32.305,32.2864,20,58.65,0.1673,0.075,0.0204,-0.0683
2025,SF,1201,717,0.597,1168,30.8257,26.7933,35.7027,211,261,400,329,0.7251,0.659,0.5825,0.4833,28.8114,30.8357,31.1276,31.7748,19,61.4737,0.1281,0.062,-0.0145,-0.1137
2025,TB,1115,684,0.6135,1057,31.2981,25.8303,38.1538,258,241,422,194,0.7713,0.6432,0.5545,0.4948,26.9204,32.2792,33.7248,30.6039,17,62.1765,0.1579,0.0297,-0.059,-0.1186
2025,TEN,1044,684,0.6552,995,29.6222,24.598,37.5175,492,219,257,76,0.7683,0.6164,0.5409,0.4211,26.4301,31.3018,33.7233,31.0714,17,58.5294,0.1131,-0.0387,-0.1143,-0.2341
2025,WAS,1013,600,0.5923,960,30.9575,26.7824,35.8587,354,289,228,142,0.6356,0.6332,0.5219,0.5141,29.8464,31.7328,32.9615,28.7547,17,56.4706,0.0433,0.0409,-0.0704,-0.0782
