range,games,q1_trail_big,q2_trail,q3_lead,q4_lead_big,positive,neutral,negative
+10.5 to +14,442,0.07458944386376125,0.14858607092815954,0.32121974421222194,0.4556047409958573,0.4556047409958573,0.46980581514038144,0.07458944386376125
+14.5 to +17,78,0.03869639156975082,0.10596082172445889,0.31008337494909294,0.5452594117566973,0.5452594117566973,0.4160441966735518,0.03869639156975082
+17.5 +,18,0.048262483130904185,0.11169020213927257,0.24572047562335772,0.5943268391064654,0.5943268391064654,0.3574106777626303,0.048262483130904185
+3.5 to +6,1560,0.1559051421868064,0.2157611471044856,0.32209101814617375,0.3062426925625342,0.3062426925625342,0.5378521652506594,0.1559051421868064
+6.5 to +7,601,0.12281032868210018,0.1845436875904543,0.3238397268910438,0.3688062568364017,0.3688062568364017,0.508383414481498,0.12281032868210018
+7.5 to +10,761,0.11554970007764703,0.1909909576739631,0.31023032514781107,0.3832290171005788,0.3832290171005788,0.5012212828217741,0.11554970007764703
-10.5 to -14,448,0.46415962719948267,0.2867740376914094,0.16984177740642825,0.07922455770267967,0.07922455770267967,0.45661581509783766,0.46415962719948267
-14.5 to -17,84,0.5180938633104212,0.28392323368952316,0.14208973262589902,0.055893170374156635,0.055893170374156635,0.4260129663154222,0.5180938633104212
-17.5 +,14,0.6628745605850068,0.2322076853941981,0.08587013497317604,0.019047619047619046,0.019047619047619046,0.31807782036737414,0.6628745605850068
-3.5 to -6,1554,0.30924237667677845,0.2914620983908556,0.25096705115750284,0.14832847377486316,0.14832847377486316,0.5424291495483584,0.30924237667677845
-6.5 to -7,593,0.3851323749189276,0.28426577089100535,0.21307522764591913,0.11752662654414792,0.11752662654414792,0.4973409985369245,0.3851323749189276
-7.5 to -10,767,0.38647663379364466,0.28188720744911344,0.21660719150023208,0.11502896725700978,0.11502896725700978,0.49849439894934555,0.38647663379364466
0 to +3,1976,0.20919973216190743,0.24189362624763938,0.2967068343498022,0.252199807240651,0.252199807240651,0.5386004605974416,0.20919973216190743
0 to -3,1962,0.252495045230117,0.27137767762754,0.2716075902580596,0.20451968688428335,0.20451968688428335,0.5429852678855996,0.252495045230117
